id,department,sponsor,title,themes,skills,output,value,mentor_time,confidentiality
need-001,Business Transformation & Enquiry,Business Transformation Team,Enquiry Channel Volume Analysis,"{""Customer Experience"",""Data & Analytics""}","{""Data analysis"",""Excel / Power BI"",""Customer mindset""}","Enquiry dashboard + channel insights","Helps route customer enquiries to the right channel faster.","30 minutes per week",Medium
need-002,Business Transformation & Enquiry,Business Transformation Team,Workflow Automation Opportunity Scan,"{""Digital & AI"",""Finance & Efficiency""}","{""AI tools"",""Process improvement"",""Presentation skills""}","Automation opportunity shortlist + pilot proposal","Identifies repetitive work that can be automated for productivity gains.","30 minutes per week",Low
need-003,Commercial & Industrial Marketing & Sales,C&I Marketing & Sales Team,C&I Customer Segment Benchmarking,"{""Business Research"",""Customer Experience""}","{""Research"",""Marketing"",""Presentation skills""}","Segment benchmarking report","Sharpens targeting for commercial and industrial customers.","30 minutes per week",Low
need-004,Commercial & Industrial Marketing & Sales,C&I Marketing & Sales Team,Industrial Energy Solution Case Pack,"{""Customer Experience""}","{""Writing / storytelling"",""Marketing"",""Design""}","Case study pack + one-pagers","Helps the sales team present energy solutions with real examples.","30 minutes per week",Low
need-005,Commercial & Industrial Services & Business Development,C&I Services & BD Team,New Business Opportunity Mapping,"{""Business Research"",""Open Innovation""}","{""Research"",""Project coordination"",""Presentation skills""}","Opportunity map + priority list","Supports the business development pipeline with structured scanning.","30 minutes per week",Low
need-006,Commercial & Industrial Services & Business Development,C&I Services & BD Team,C&I Service Portfolio Review,"{""Customer Experience"",""Finance & Efficiency""}","{""Customer mindset"",""Data analysis"",""Excel / Power BI""}","Portfolio review deck + recommendations","Identifies which services create most value for industrial clients.","30 minutes per week",Medium
need-007,Company Secretarial,Company Secretarial Team,Board Paper Template Modernization,"{""Finance & Efficiency"",""Digital & AI""}","{""Writing / storytelling"",""English writing"",""Process improvement""}","Redesigned templates + style guide","Improves clarity and consistency of board and committee papers.","15 minutes per week",Low
need-008,Company Secretarial,Company Secretarial Team,Corporate Governance Research Digest,"{""Business Research""}","{""Research"",""English writing"",""Chinese writing""}","Monthly governance digest template","Keeps the team updated on listing rules and governance trends.","15 minutes per week",Medium
need-009,Corporate Affairs,Corporate Affairs Team,Stakeholder Event Feedback Analysis,"{""Business Research"",""Customer Experience""}","{""Research"",""Data analysis"",""Writing / storytelling""}","Event feedback report + recommendations","Improves government and community engagement events.","15 minutes per week",Low
need-010,Corporate Affairs,Corporate Affairs Team,Community Partnership Mapping,"{""Business Research"",""ESG & Sustainability""}","{""Research"",""Presentation skills"",""Project coordination""}","Partnership opportunity map","Identifies new community collaboration opportunities.","30 minutes per week",Low
need-011,Group Audit & Risk Management,Audit & Risk Team,Audit Finding Trend Dashboard,"{""Data & Analytics"",""Finance & Efficiency""}","{""Data analysis"",""Excel / Power BI"",""Process improvement""}","Trend dashboard + summary report","Highlights recurring audit findings so teams can act earlier.","30 minutes per week",Medium
need-012,Group Audit & Risk Management,Audit & Risk Team,Risk Awareness Micro-Content Sprint,"{""Corporate Communications"",""Safety & Operations""}","{""Writing / storytelling"",""Design"",""Presentation skills""}","Storyboard + sample micro-content","Makes risk management concepts easier for staff to absorb.","15 minutes per week",Low
need-013,Group ESG,ESG Team,ESG Data Collection Streamlining,"{""ESG & Sustainability"",""Data & Analytics""}","{""ESG knowledge"",""Data analysis"",""Excel / Power BI""}","ESG data tracker prototype","Reduces manual workload for ESG disclosure and reporting.","30 minutes per week",Medium
need-014,Group ESG,ESG Team,Carbon Emission Calculation Helper,"{""ESG & Sustainability"",""Digital & AI""}","{""ESG knowledge"",""Excel / Power BI"",""Coding / automation""}","Emission calculator prototype","Helps departments estimate and track their carbon footprint.","30 minutes per week",Medium
need-015,Group Human Resources,HR Team,Onboarding Experience Redesign,"{""HR & Employee Experience"",""Customer Experience""}","{""Project coordination"",""Design"",""Writing / storytelling""}","Onboarding journey map + welcome kit draft","Improves new hire experience and early retention.","30 minutes per week",Low
need-016,Group Human Resources,HR Team,Employee Survey Insight Dashboard,"{""HR & Employee Experience"",""Data & Analytics""}","{""Data analysis"",""Excel / Power BI"",""Presentation skills""}","Survey dashboard + key insight summary","Turns engagement survey results into clear actions.","30 minutes per week",Medium
need-017,Corporate Information Technology,IT Team,AI Tool Testing for Internal Workflow,"{""Digital & AI"",""Finance & Efficiency""}","{""AI tools"",""Process improvement"",""Presentation skills""}","Testing report + practical use cases","Identifies small automation opportunities and improves staff productivity.","30 minutes per week",Medium
need-018,Corporate Information Technology,IT Team,IT Self-Service Knowledge Base Refresh,"{""Digital & AI"",""HR & Employee Experience""}","{""Writing / storytelling"",""UX review"",""Design""}","Restructured knowledge base prototype","Reduces IT helpdesk tickets with clearer self-help content.","30 minutes per week",Low
need-019,Group Innovation and Development,Innovation Team,Innovation Idea Hub Pilot,"{""Open Innovation"",""Digital & AI""}","{""AI tools"",""Project coordination"",""Presentation skills""}","Idea collection platform prototype","Captures employee innovation ideas in a systematic way.","30 minutes per week",Low
need-020,Group Innovation and Development,Innovation Team,Energy Tech Scouting Digest,"{""Open Innovation"",""Business Research""}","{""Research"",""Presentation skills"",""English writing""}","Monthly tech scouting digest","Keeps the business aware of emerging energy technologies.","30 minutes per week",Low
